year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2018,9,"ДП ""Національна енергетична компанія ""Укренерго"" ",100227,,працює; перебуває у процедурі реорганізації,,2.0,145.68790397045245,1.0,100.06580648521751,1.0,115.56925912283968,1.0,,0.0,,,109.32187747470958,1.0,113.30867134623126,5.0,2.6,1.0,0.61,0.0,0.38,0.0,40.1,1.0,,,13.0,ефективна
2018,9,"ДП ""Львівське конструкторське бюро""",130044,,працює,,2.0,83.64589635007056,0.0,69.91279069767442,0.0,85.71428571428571,0.0,117.46031746031748,1.0,,,133.33333333333331,1.0,105.88235294117649,5.0,1.6,1.0,1.3,1.0,0.6,1.0,49.7,1.0,,,13.0,ефективна
2018,9,"ДП ""Науково-дослідний інститут високих напруг""",130441,,працює; перебуває у процедурі банкрутства - розпорядження майном,126.59941482160791,0.0,100.1830942935612,1.0,12.225605599236467,0.0,,0.0,,0.0,,,4.065040650406504,0.0,100.0,0.0,0.4,0.0,-0.4,0.0,0.7,1.0,84.7,0.0,,,2.0,неефективна
2018,9,"ДП ""Харківський науково-дослідний інститут комплексної автоматизації""",14072049,,працює,,2.0,146.00827300930715,1.0,100.44843049327356,1.0,104.02884654123524,1.0,,0.0,,,70.21390374331551,0.0,44.49441687344913,1.0,13.1,1.0,16.6,1.0,0.9,1.0,29.0,1.0,,,10.0,задовільна
2018,9," ""Державне Донбаське підприємство з пуску, налагоджування, удосконалення технології та експлуатації електростанцій та мереж"" (ДОНОРГРЕС) ",4624513,,працює,83.82027833001987,1.0,102.12588578574406,1.0,51.25818330605565,0.0,70.0,0.0,153.33333333333334,1.0,,,637.5,1.0,350.0,5.0,1.6,1.0,0.9,0.0,"0,5",1.0,89.9,0.0,,,11.0,задовільна
2018,9,"ДП ""Регіональні електричні мережі""",32402870,,працює; перебуває у процедурі банкрутства - розпорядження майном,180.3415153500561,0.0,138.92548107968491,1.0,96.03983414277417,0.0,,0.0,,0.0,,,,0.0,,0.0,0.76,0.0,-0.23,0.0,-0.3,0.0,95.53,0.0,,,1.0,неефективна
2018,9," Об’єднання енергетичних підприємств ""Галузевий резервно-інвестиційний фонд розвитку енергетики""",21677681,,працює,,2.0,204.50131106147418,1.0,,,,,,,,,,,,,27.4,1.0,1.4,1.0,0.6,1.0,81.8,0.0,,,6.0,неефективна
2018,9,"Державне підприємство зовнішньоекономічної діяльності ""Укрінтеренерго""",19480600,,працює,,2.0,165.26579777330244,1.0,104.87336487614807,1.0,100.0,1.0,,0.0,,,100.5685407454201,1.0,7.830456068023706,1.0,11.9,,16.7,1.0,0.9,1.0,38.4,1.0,,,10.0,задовільна
2018,9,"ДП ""Спеціалізований центр підготовки кадрів""",4642416,,працює,37.2572334522394,1.0,110.77602059580728,1.0,188.3693045563549,1.0,44.82758620689656,0.0,209.30232558139537,1.0,,,,0.0,18.97810218978102,1.0,0.4,0.0,0.8,0.0,0.4,0.0,96.9,0.0,,,5.0,неефективна
2018,9,"ДП ""Управління відомчої воєнізованої охорони""",2072239,,працює,,2.0,119.56035009159372,1.0,186.64758269720105,1.0,316.0888888888889,1.0,196.49205972979382,1.0,,,359.47712418300654,1.0,955.9139784946236,5.0,0.8,0.0,-0.1,0.0,-0.2,0.0,87.7,0.0,,,12.0,ефективна
2018,9,"ДП ""Науково-дослідний проектний і впроваджувальний центр організації праці в енергетиці та енергобудівництві ""Укренергопраця"" (НДПІВЦ ""Укренергопраця"")",4624536,,працює,,2.0,44.492656875834456,0.0,33.29369797859691,0.0,,0.0,100.0,1.0,,,,0.0,,0.0,0.4,0.0,-0.6,0.0,-1.7,0.0,99.4,0.0,,,3.0,неефективна
2018,9,"ДП ""Калуська теплоелектроцентраль-нова""",40885849,,працює,,2.0,123.44742413549751,1.0,106.08738286241659,1.0,139.9355877616747,1.0,100.0,1.0,,,65.70367716509787,0.0,5.400086997949335,1.0,1.4,1.0,1.3,1.0,0.6,1.0,44.3,1.0,,,11.0,задовільна
2018,9,"ДП ""Національна атомна енергогенеруюча компанія  ""Енергоатом""  ",24584661,,працює,,2.0,124.76871320437344,1.0,101.9373068243412,1.0,100.0,1.0,100.0,1.0,,,150.57033671441562,1.0,,5.0,1.2,1.0,1.5,1.0,0.6,1.0,68.1,1.0,,,16.0,ефективна
2018,9,"Державний концерн ""Ядерне паливо""",36282830,,працює,,2.0,230.98396051819861,1.0,,,124.0,1.0,185.0,1.0,,,,0.0,206.66666666666669,5.0,1.3,1.0,67.2,1.0,1.0,1.0,46.1,1.0,,,14.0,ефективна
2018,9,"ДП ""Східний гірничо-збагачувальний комбінат""",14309787,,працює,,2.0,162.88593205012273,1.0,91.81100122555685,0.0,100.0,1.0,107.4316316228436,1.0,,,63.764334975369465,0.0,6.9137339507172975,1.0,0.7,0.0,0.2,0.0,0.1839732761719308,0.0,55.920712278404245,1.0,,,7.0,неефективна
2018,9,"ДП ""Смоли""",30168850,,працює,,2.0,109.79832572298322,1.0,71.0306620422946,0.0,,0.0,100.0,1.0,,,3.6353467561521255,0.0,,0.0,0.9,0.0,0.1,0.0,0.1,0.0,88.6,0.0,,,4.0,неефективна
2018,9,"ДП ""Український науково-дослідний та проектно-розвідувальний інститут промислової технології""",14310483,,працює,61.016621569385386,1.0,131.70933113129644,1.0,87.9616724738676,0.0,,0.0,14.423076923076923,0.0,,,,0.0,,3.0,0.9009026128266032,0.0,0.37102137767220905,0.0,0.27061677061677064,0.0,77.91483113069016,0.0,,,5.0,неефективна
2018,9,"ДП ""Київський інститут інженерних вишукувань і досліджень ""Енергопроект"" ",113968,,працює,61.80888114932521,1.0,160.0273785078713,1.0,44.6,0.0,,0.0,6.1,0.0,,,44.4,0.0,,0.0,0.9,0.0,2.5,1.0,0.7,1.0,78.6,0.0,,,4.0,неефективна
2018,9,"Державне науково-виробниче підприємство ""Цирконій""",25012091,,працює; перебуває у процедурі банкрутства - санація,,2.0,86.42669217890457,0.0,,,,,,,,,,,,3.0,0.03,0.0,-0.9,0.0,-12.6,0.0,81.2,0.0,,,5.0,неефективна
2018,9,"ДП  ""Кримський науково-інженерний центр""",13790848,,працює,,2.0,45.195025438100615,0.0,3.970588235294117,0.0,,0.0,,0.0,,,,0.0,,0.0,5.0,1.0,4.1,1.0,0.8,1.0,87.9,0.0,,,5.0,неефективна
2018,9,"ДП ""Чорнобильпроменергобуд""                                         ",25301719,,працює,,2.0,120.23669708194056,1.0,526.6818181818181,1.0,208.69565217391303,1.0,211.76470588235298,1.0,,,84.25925925925925,0.0,171.42857142857142,5.0,1.1,1.0,0.1,0.0,0.1,0.0,78.9,0.0,,,12.0,ефективна
2018,9,"ДП ""Бар`єр""",31330051,,працює,166.12060778727448,0.0,89.13122062899143,0.0,128.36879432624113,1.0,,0.0,,0.0,,,,0.0,,0.0,0.1,0.0,-0.3,0.0,-0.5,0.0,64.0,1.0,,,2.0,неефективна
2018,9,"ДП ""Державний науково-інженерний центр систем контролю та аварійного реагування"" ",24249112,,працює,,2.0,114.7898563575102,1.0,332.88014311270126,1.0,338.24884792626733,1.0,,0.0,,,7165.384615384615,1.0,97.34748010610079,1.0,2.0,1.0,1.8,1.0,0.6,1.0,36.5,1.0,,,11.0,задовільна
2018,9,"ДП ""38 відділ інженерно-технічних частин""",33127487,,працює,,2.0,111.14053338377151,1.0,339.3203316594652,1.0,104.27807486631016,1.0,93.61702127659576,0.0,,,6.779661016949151,0.0,127.45098039215685,5.0,1.2,1.0,0.1,0.0,"0,1",0.0,70.7,0.0,,,11.0,задовільна
2018,9,"ДП ""Львівський державний інститут по проектуванню нафтопереробних та нафтохімічних підприємств"" (""Львівдіпронафтохім"") ",150113,,,,2.0,142.2,1.0,26.4,0.0,,0.0,,0.0,,,,0.0,,0.0,1.5,1.0,0.3,0.0,0.2,0.0,92.7,0.0,,,4.0,неефективна
2018,9,"ДП ""Укренергоінвест""",21613310,,працює,,2.0,,,47.1,0.0,,0.0,,0.0,,,,0.0,,0.0,0.5,0.0,-0.3,0.0,-0.4,0.0,8.3,1.0,,,3.0,неефективна
2018,9,"ДП ""Підприємство із забезпечення нафтопродуктами"" ",3482347,,працює,,2.0,110.8,1.0,69.5,0.0,,0.0,29.2,0.0,,,7.3,0.0,,3.0,8.6,1.0,5.8,1.0,0.9,1.0,99.8,0.0,,,9.0,задовільна
2018,9,"ДП ""Дашавський завод композиційних матеріалів""",152402,,працює,,2.0,245.8,1.0,388.9,1.0,100.0,1.0,100.0,1.0,,,,0.0,246.6,5.0,2.3,1.0,1.9,1.0,0.7,1.0,82.7,0.0,,,14.0,ефективна
2018,9,"ДП ""Орган з сертифікації нафтопродуктів та систем якості ""МАСМА-СЕПРО"" ",31107102,,працює,,2.0,128.7,1.0,89.0,0.0,23.2,0.0,101.6,1.0,,,118.8,1.0,50.0,1.0,7.6,1.0,15.2,1.0,0.9,1.0,81.8,0.0,,,9.0,задовільна
2018,9,"Спеціалізоване управління з ремонту засобів автоматизації і систем управління ""Орггазремавтоматика""",5794418,,працює,,2.0,125.5,1.0,110.7,1.0,1.5,0.0,1.5,0.0,,,19.4,0.0,,5.0,5.4,1.0,4.5,1.0,0.8,1.0,97.0,0.0,,,12.0,ефективна
2018,9,"Державне науково-виробниче підприємство фірма ""ПолімерСервісМаш""",14030269,,працює,,2.0,248.6,1.0,100.0,1.0,103.8,1.0,69.2,0.0,,,,0.0,257.1,5.0,3.5,1.0,1.4,1.0,0.4,0.0,97.9,0.0,,,12.0,ефективна
2018,9,"ДП ""Полтавське управління геофізичних робіт"" ",147921,,працює,,2.0,194.0,1.0,146.4,1.0,100.0,1.0,100.0,1.0,,,18.7,0.0,,5.0,3.2,1.0,3.0,1.0,0.8,1.0,92.3,0.0,,,14.0,ефективна
2018,9,"ДП ""Кременецьке управління з постачання та реалізації газу""",39460902,,працює,,2.0,116.4,1.0,94.3,0.0,,0.0,50.6,0.0,,,49.0,0.0,,0.0,0.8,0.0,1.5,1.0,0.8,1.0,36.9,1.0,,,6.0,неефективна
2018,9,ДП „Мирноградвугілля”,32087941,,працює,94.81855708212679,1.0,122.31381055676069,1.0,75.41,0.0,97.6,0.0,100.0,0.0,,,166.7993064643633,1.0,58.62861692973561,3.0,0.14363490975363266,0.0,-0.559612443184489,0.0,-1.2707271913655005,0.0,47.189886541105054,1.0,,,7.0,неефективна
2018,9,ДП „Селидіввугілля”,33426253,,працює,178.09155016466886,0.0,110.36690470327505,1.0,67.18711062432611,0.0,85.42,0.0,,,,,26.742599944215414,0.0,0.008419926498994559,3.0,0.16429035764114608,0.0,-0.5845007475840107,0.0,-1.4067431991401531,0.0,68.76916721898729,1.0,,,5.0,неефективна
2018,9,ДП „Торецьквугілля”,33839013,,працює,,2.0,113.43585592877379,1.0,80.09048835880294,0.0,80.13,0.0,,,,,685.9368046283934,1.0,6.136587521520176,0.0,0.08178971117175389,0.0,-0.8046914140262273,0.0,-4.1201026059053385,0.0,65.47779253657161,1.0,,,5.0,неефективна
