year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2019,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ІНСТИТУТ ІНЖЕНЕРНИХ ВИШУКУВАНЬ І ДОСЛІДЖЕНЬ ""ЕНЕРГОПРОЕКТ""",00113968,ДП,працює,0.0,2.0,109.3,1.0,108.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9,0.0,52.7,3.0,0.83,0.0,1.21,1.0,0.55,1.0,83.11,0.0,,0.0,9.0,задовільна
2019,12,"Державний Проектно-Вишукувальний та Науково-Дослідний Інститут ""Укренергомережпроект""",00114092,ДП,працює; звітність не надано,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,неефективна
2019,12,"Державне підприємство ""Львівське конструкторське бюро""",00130044,ДП,працює,0.0,2.0,127.3,1.0,118.9,1.0,90.3,0.0,62.9,0.0,0.0,0.0,60.0,0.0,141.4,5.0,1.45,1.0,0.86,0.0,0.46,0.0,51.17,1.0,,0.0,11.0,задовільна
2019,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ВИСОКИХ НАПРУГ""",00130441,ДП,працює; перебуває у процедурі банкрутства - розпорядження майном,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,3.0,0.38,0.0,-0.46,0.0,-0.87,0.0,84.28,0.0,,0.0,5.0,неефективна
2019,12,"ДП ""ПУГР""",00147921,ДП,працює,0.0,2.0,100.8,1.0,121.8,1.0,0.0,0.0,0.2,0.0,0.0,0.0,212.0,1.0,-449.8,0.0,3.38,1.0,2.92,1.0,0.74,1.0,95.19,0.0,,0.0,8.0,неефективна
2019,12,"ДП""Львівдіпронафтохім""",00150113,ДП,працює,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,неефективна
2019,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДАШАВСЬКИЙ ЗАВОД КОМПОЗИЦІЙНИХ МАТЕРІАЛІВ""",00152402,ДП,працює,0.0,2.0,49.7,0.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,-118.2,0.0,2.58,1.0,2.32,1.0,0.68,1.0,83.75,0.0,,0.0,6.0,неефективна
2019,12,ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,00159367,ДП,працює,99.8,1.0,102.1,1.0,143.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,265.0,1.0,101.3,5.0,5.13,1.0,6.01,1.0,0.57,1.0,72.87,0.0,,0.0,13.0,задовільна
2019,12,Восьмий воєнізований гірничорятувальний загін,00159427,ДП,працює,0.0,2.0,127.4,1.0,138.4,1.0,100.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,2047.6,5.0,651.69,1.0,702.43,1.0,0.63,1.0,67.56,1.0,,0.0,14.0,ефективна
2019,12,ДЕСЯТИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,00159462,ДП,працює,0.0,2.0,101.1,1.0,116.4,1.0,100.0,1.0,0.0,0.0,0.0,0.0,108.0,1.0,237.3,5.0,12.31,1.0,12.74,1.0,0.57,1.0,70.13,0.0,,0.0,14.0,ефективна
2019,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ, ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ І ПРОЕКТНИЙ ІНСТИТУТ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ ""УКРНДІПРОЕКТ""",00174125,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.1,0.0,1.3,1.0,1.45,1.0,0.59,1.0,82.55,0.0,,0.0,5.0,неефективна
2019,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НОВОВОЛИНСЬКИЙ РЕМОНТНО-МЕХАНІЧНИЙ ЗАВОД""",00179000,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,105.9,1.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119.6,0.0,0.18,0.0,-0.48,0.0,-0.91,0.0,96.05,0.0,,0.0,3.0,неефективна
2019,12,"ДП ""ДИРЕКЦІЯ  ПО БУДІВНИЦТВУ  ОБ''ЄКТІВ""",00179737,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1.0,12.74,1.0,0.05,0.0,33.42,1.0,,0.0,5.0,неефективна
2019,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНИЙ ЦЕНТР ""ВУГЛЕІЗОТОП""",00186022,ДП,працює,67.5,1.0,125.7,1.0,131.7,1.0,93.8,0.0,200.0,1.0,0.0,0.0,0.0,0.0,55.6,1.0,0.86,0.0,-0.07,0.0,-0.08,0.0,87.45,0.0,,0.0,5.0,неефективна
2019,12,"Державне підприємство ""Волиньторф""",00426302,ДП,працює,0.0,2.0,100.4,1.0,149.2,1.0,295.6,1.0,11.3,0.0,0.0,0.0,23.0,0.0,92.1,1.0,1.91,1.0,8.98,1.0,0.83,1.0,74.96,0.0,,0.0,9.0,задовільна
2019,12,"УКРАЇНСЬКА ІНСПЕКЦІЯ ПО КОНТРОЛЮ ЯКОСТІ ТОРФЯНОЇ ПРОДУКЦІЇ І ПАЛИВНИХ БРИКЕТІВ ""УКРІНСПАЛИВО""",01886833,ДП,працює,0.0,2.0,92.4,0.0,97.7,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.77,0.0,-0.31,0.0,-0.41,0.0,100.0,0.0,,0.0,4.0,неефективна
2019,12,"Державне підприємство ""Управління відомчої воєнізованої охорони""",02072239,ДП,працює,0.0,2.0,122.5,1.0,156.6,1.0,499.6,1.0,680.4,1.0,0.0,0.0,122.8,1.0,105.7,5.0,1.11,1.0,-0.04,0.0,-0.04,0.0,82.38,0.0,,0.0,13.0,задовільна
2019,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЖИТОМИРТОРФ""",02968154,ДП,працює,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,неефективна
2019,12,"ДЕРЖАВНЕ ПІДПРИЄМСТВО КОРОСТИШІВСЬКИЙ ЗАВОД ""РЕММАШТОРФ""",02968160,ДП,працює,0.0,2.0,124.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-345.2,0.0,0.43,0.0,-0.33,0.0,-0.48,0.0,92.63,0.0,,0.0,3.0,неефективна
2019,12,Державне підприємство КИЇВТОРФ;,02968177,ДП,працює,103.1,0.0,275.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.1,0.0,0.15,0.0,0.06,0.0,0.05,0.0,31.99,1.0,,0.0,2.0,неефективна
