year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2018,6,"ДП ""Національна енергетична компанія ""Укренерго"" ",00100227,,працює; перебуває у процедурі реорганізації,0.0,2.0,154.05817737998373,1.0,99.26466854676575,0.0,212.35440410969298,1.0,0.0,0.0,,,110.3,1.0,117.92218641151229,5.0,1.6,1.0,0.7,0.0,0.4,0.0,39.5,1.0,,,12.0,
2018,6," ""Державний проектно-вишукувальний та науково-дослідний інститут ""Укренергомережпроект""",00114092,,працює,226.00361663652802,0.0,154.94137353433837,1.0,17.7998017839445,0.0,-5237.209302325581,0.0,0.0,0.0,,,0.0,0.0,99.076110866696,3.0,1.0,1.0,0.5,0.0,0.3,0.0,67.2,1.0,,0.0,6.0,
2018,6,"ДП ""Державний науково-дослідний і проектно-конструкторський інститут інноваційних технологій в енергетиці та енергозбереженні""",13685287,,не працює; перебуває у процедурі банкрутства - розпорядження майном,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,6,"ДП ""Науково-дослідний та проектний інститут ""Укрдіпрогазоочистка""",00219388,,не працює; перебуває у процедурі у ліквідації за рішенням органу влади,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,6,"ДП ""Львівське конструкторське бюро""",00130044,,працює,0.0,2.0,80.83150984682713,0.0,63.12005751258087,0.0,92.85714285714286,0.0,83.3,0.0,,,200.0,1.0,148.57142857142858,5.0,2.2,1.0,2.4,1.0,0.7,1.0,49.4,1.0,,0.0,12.0,
2018,6," ""Державний науково-дослідний інститут теплоенергетики (НДІТЕ)""",04775287,,не працює; АТО,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,6,"ДП ""Науково-дослідний інститут високих напруг""",00130441,,працює; перебуває у процедурі банкрутства - розпорядження майном,118.52314278070098,0.0,106.39460154241645,1.0,27.129502516833366,0.0,-33578.94736842105,0.0,0.0,0.0,,,0.0,0.0,132.2279792746114,0.0,0.4412015079654627,0.0,-0.3947826086956522,0.0,-0.6517720951099147,0.0,84.7,0.0,,0.0,1.0,
2018,6,"ДП ""Харківський науково-дослідний інститут комплексної автоматизації""",14072049,,працює,0.0,2.0,166.17481555583345,1.0,162.66666666666666,1.0,555.7327586206897,1.0,0.0,0.0,,,311.3,1.0,63.21647462613386,1.0,13.1,1.0,16.5,1.0,0.9,1.0,28.9,1.0,,0.0,11.0,
2018,6,"Державне підприємство з науково-технічних робіт по енергозбереженню в електроенергетиці ""Укренергоефективність""",21632715,,не працює; перебуває у процедурі реорганізації,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,6,"Державне підприємство з комплектної поставки устаткування ""Укренергокомплект"" ",00132842,,не працює,,,,,,,,,,,,,,,,,,,,,,,,,,,,
