year,period,company_name,company_code,company_type,company_status,salary_debt_changes,salary_debt_mark,salary_average_changes,salary_average_mark,financial_outturn_sales_percent,financial_outturn_sales_mark,financial_outturn_profit_percent,financial_outturn_profit_mark,financial_outturn_revenue_to_budget_percent,financial_outturn_revenue_to_budget_mark,financial_outturn_revenue_to_state_shareholder_percent,financial_outturn_revenue_to_state_shareholder_mark,financial_outturn_capital_investments_percent,financial_outturn_capital_investments_mark,profit_changes,profit_mark,covering_coefficient_end,covering_coefficient_mark,firmness_coefficient_end,firmness_coefficient_mark,solvency_coefficient_end,solvency_coefficient_mark,amortization_end,amortization_mark,audition_result,audition_mark,total_mark,final_assessment
2019,9,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""КИЇВСЬКИЙ ІНСТИТУТ ІНЖЕНЕРНИХ ВИШУКУВАНЬ І ДОСЛІДЖЕНЬ ""ЕНЕРГОПРОЕКТ""",00113968,ДП,працює,90.8,1.0,115.1,1.0,66.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3,0.0,148.5,0.0,0.64,0.0,1.22,1.0,0.55,1.0,81.67,0.0,,0.0,4.0,неефективна
2019,9,"Державне підприємство ""Львівське конструкторське бюро""",00130044,ДП,працює,0.0,2.0,129.6,1.0,106.0,1.0,85.5,0.0,61.3,0.0,0.0,0.0,80.0,0.0,147.2,5.0,1.9,1.0,1.67,1.0,0.63,1.0,50.64,1.0,,0.0,13.0,ефективна
2019,9,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НАУКОВО-ДОСЛІДНИЙ ІНСТИТУТ ВИСОКИХ НАПРУГ""",00130441,ДП,працює; перебуває у процедурі банкрутства - розпорядження майном,111.3,0.0,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,3.0,0.39,0.0,-0.46,0.0,-0.85,0.0,84.28,0.0,,0.0,3.0,неефективна
2019,9,"ДП ""ПУГР""",00147921,ДП,працює,0.0,2.0,98.9,0.0,128.7,1.0,0.0,0.0,0.2,0.0,0.0,0.0,286.0,1.0,-60.8,0.0,3.09,1.0,2.59,1.0,0.72,1.0,94.65,0.0,,0.0,7.0,неефективна
2019,9,"ДП""Львівдіпронафтохім""",00150113,ДП,працює,0.0,2.0,185.9,1.0,117.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.3,0.0,0.83,0.0,-0.14,0.0,-0.15,0.0,94.27,0.0,,0.0,4.0,неефективна
2019,9,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДАШАВСЬКИЙ ЗАВОД КОМПОЗИЦІЙНИХ МАТЕРІАЛІВ""",00152402,ДП,працює,0.0,2.0,56.1,0.0,123.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0.0,-73.5,0.0,2.82,1.0,2.64,1.0,0.71,1.0,83.53,0.0,,0.0,6.0,неефективна
2019,9,ДРУГИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,00159367,ДП,працює,99.8,1.0,89.4,0.0,156.1,1.0,100.0,1.0,0.0,0.0,0.0,0.0,56.9,0.0,145.6,5.0,3.39,1.0,4.27,1.0,0.59,1.0,72.42,0.0,,0.0,11.0,задовільна
2019,9,Восьмий воєнізований гірничорятувальний загін,00159427,ДП,працює,0.0,2.0,123.3,1.0,132.5,1.0,100.0,1.0,0.0,0.0,0.0,0.0,4.3,0.0,1580.9,5.0,7.69,1.0,7.82,1.0,0.6,1.0,66.17,1.0,,0.0,14.0,ефективна
2019,9,ДЕСЯТИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ ЗАГІН,00159462,ДП,працює,0.0,2.0,94.6,0.0,93.9,0.0,100.0,1.0,0.0,0.0,0.0,0.0,103.9,1.0,67.2,1.0,14.08,1.0,17.0,1.0,0.58,1.0,68.4,1.0,,0.0,9.0,задовільна
2019,9,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДЕРЖАВНИЙ НАУКОВО-ДОСЛІДНИЙ, ПРОЕКТНО-КОНСТРУКТОРСЬКИЙ І ПРОЕКТНИЙ ІНСТИТУТ ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ ""УКРНДІПРОЕКТ""",00174125,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.04,1.0,0.51,1.0,82.21,0.0,,0.0,4.0,неефективна
2019,9,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""НОВОВОЛИНСЬКИЙ РЕМОНТНО-МЕХАНІЧНИЙ ЗАВОД""",00179000,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,121.3,1.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.9,0.0,0.26,0.0,-0.41,0.0,-0.68,0.0,95.69,0.0,,0.0,3.0,неефективна
2019,9,"ДП ""ДИРЕКЦІЯ  ПО БУДІВНИЦТВУ  ОБ''ЄКТІВ""",00179737,ДП,працює; перебуває у процедурі реорганізації,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,6.16,1.0,13.18,1.0,0.05,0.0,33.0,1.0,,0.0,5.0,неефективна
2019,9,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""СПЕЦІАЛІЗОВАНИЙ ЦЕНТР ""ВУГЛЕІЗОТОП""",00186022,ДП,працює,0.0,2.0,137.4,1.0,124.7,1.0,66.7,0.0,244.4,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.82,0.0,-0.09,0.0,-0.1,0.0,87.51,0.0,,0.0,10.0,задовільна
